,Name,location_lat,location_lng,Date,Year,Price as number,Price,Style
,Gotham Pizza,40.74381,-74.00295,2017-0531,2017,3.00,$3.00,Pepperoni
,Scarr's Pizza,40.71539,-73.99153,2017-0516,2017,3.75,$3.75,Pepperoni
,Sutton Pizzeria,40.76183,-73.96015,2017-0503,2017,2.75,$2.75,Plain
,Little Gio's Pizza,40.72374,-73.9879,2017-0429,2017,2.25,$2.25,Plain
,99 Cent Express Pizza,40.75024,-73.9705,2017-0421,2017,1.00,$1.00,Plain
,Sofia Pizza Shoppe,40.75674,-73.96431,2017-0412,2017,4.50,$4.50,Pepperoni
,Luigi's Family Italian Ristorante and Pizzeria,40.77843,-73.94863,2017-0322,2017,2.75,$2.75,Plain
,Italian Village Pizzeria & Restaurant NYC,40.77149,-73.95309,2017-0211,2017,2.75,$2.75,Plain
,Bosa's Pizza of Harlem,40.802747,-73.93408819999999,2017-0211,2017,2.00,$2.00,Plain
,Rivoli Pizza II,40.7332899,-74.00619,2017-0127,2017,3.00,$3.00,Plain
,J's Pizza,40.7398164,-73.9989453,2017-0127,2017,3.25,$3.25,Pepperoni
,44st Pizza,40.75202,-73.97376,2017-0119,2017,1.00,$1.00,Plain
,Joey Pepperoni's Pizza,40.740868,-73.978965,2016-1224,2016,1.00,$1.00,Plain
,Tony's Pizzeria & Restaurant,40.6992,-73.91882,2016-1022,2016,2.50,$2.50,Plain
,Villa Mia Pizzeria,40.66949,-73.99285,2016-1020,2016,2.50,$2.50,Plain
,Sofia Pizza Shoppe,40.75674,-73.96431,2016-1014,2016,4.00,$4.00,Pepperoni
,Mamma's Famous Ristorante,40.78806,-73.97707,2016-0920,2016,3.85,$3.85,Pepperoni
,Justino's Pizzeria,40.76960068,-73.98845172,2016-0909,2016,3.50,$3.50,Pepperoni
,New York sal's pizza,40.7637799,-73.99224,2016-0909,2016,2.75,$2.75,Plain
,Pizza & Pita,40.74385051,-73.97396489,2016-0908,2016,2.75,$2.75,Plain
